序号,卫星NORAD,卫星intlid,卫星名称,发射时间,开始时间,结束时间,持续时长,阶段标定,轨道高度
,48390,21038AP,,,20210516,20210706,51,C,354.906816
,48391,21038AQ,,,20210516,20210706,51,C,354.336060
,48392,21038AR,,,20210516,20210706,51,C,353.968673
,48393,21038AS,,,20210516,20210706,51,C,353.520921
,48394,21038AT,,,20210516,20210706,51,C,352.960216
,48395,21038AU,,,20210516,20210706,51,C,351.919920
,48396,21038AV,,,20210516,20210706,51,C,354.587563
,48397,21038AW,,,20210516,20210706,51,C,353.957403
,48398,21038AX,,,20210516,20210706,51,C,353.445717
,48399,21038AY,,,20210516,20210706,51,C,352.060938
,48400,21038AZ,,,20210516,20210706,51,C,352.861205
,48401,21038BA,,,20210517,20210706,50,C,357.541241
,48402,21038BB,,,20210517,20210706,50,C,352.773199
,48403,21038BC,,,20210517,20210707,51,C,357.994564
,48404,21038BD,,,20210517,20210707,51,C,357.322140
,48405,21038BE,,,20210517,20210707,51,C,356.696225
,48406,21038BF,,,20210517,20210706,50,C,351.861327
,48407,21038BG,,,20210517,20210705,49,C,352.493475
,48408,21038BH,,,20210517,20210705,49,C,352.289447
,48409,21038BJ,,,20210517,20210626,40,C,355.112715
,48410,21038BK,,,20210517,20211009,145,C,358.224628
,48411,21038BL,,,20210517,20211019,155,C,357.219023
,48412,21038BM,,,20210517,20211019,155,C,354.071574
,48428,21040A,,,20210527,20210624,28,C,352.631792
,48429,21040B,,,20210527,20210825,90,C,352.899305
,48430,21040C,,,20210527,20210825,90,C,351.939703
,48431,21040D,,,20210528,20210905,100,C,352.686007
,48432,21040E,,,20210528,20210915,110,C,352.300161
,48432,21040E,,,20210924,20210927,3,C,397.094076
,48433,21040F,,,20210527,20210904,100,C,351.265596
,48434,21040G,,,20210528,20210826,90,C,355.645052
,48434,21040G,,,20210913,20210915,2,C,457.270269
,48434,21040G,,,20210930,20211002,2,C,533.388006
,48435,21040H,,,20210527,20210814,79,C,361.502343
,48436,21040J,,,20210527,20210704,38,C,353.814571
,48437,21040K,,,20210528,20210616,19,C,356.053725
,48437,21040K,,,20210704,20210706,2,C,454.327331
,48438,21040L,,,20210527,20210704,38,C,353.274862
,48439,21040M,,,20210527,20210704,38,C,353.027128
,48440,21040N,,,20210527,20210704,38,C,352.655215
,48441,21040P,,,20210527,20210704,38,C,352.671918
,48442,21040Q,,,20210527,20210704,38,C,352.426545
,48443,21040R,,,20210527,20210704,38,C,353.178232
,48444,21040S,,,20210527,20210704,38,C,352.105288
,48445,21040T,,,20210527,20210704,38,C,352.211148
,48446,21040U,,,20210527,20210704,38,C,352.308057
,48447,21040V,,,20210527,20210704,38,C,352.373199
,48448,21040W,,,20210619,20210703,14,C,352.337648
,48449,21040X,,,20210527,20210704,38,C,352.501747
,48450,21040Y,,,20210527,20210704,38,C,352.455425
,48451,21040Z,,,20210527,20210704,38,C,352.495870
,48452,21040AA,,,20210527,20210704,38,C,352.439449
,48453,21040AB,,,20210527,20210704,38,C,352.456704
,48454,21040AC,,,20210527,20210704,38,C,352.504559
,48455,21040AD,,,20210528,20210704,37,C,354.661033
,48456,21040AE,,,20210527,20210704,38,C,354.491809
,48457,21040AF,,,20210527,20210705,39,C,350.857377
,48458,21040AG,,,20210527,20210624,28,C,352.525160
,48459,21040AH,,,20210527,20210628,32,C,353.362688
,48460,21040AJ,,,20210527,20210624,28,C,352.494859
,48461,21040AK,,,20210527,20210624,28,C,351.248898
,48462,21040AL,,,20210527,20210612,16,C,352.100351
,48463,21040AM,,,20210527,20210612,16,C,352.462710
,48464,21040AN,,,20210527,20210612,16,C,352.487801
,48465,21040AP,,,20210528,20210614,17,C,353.690718
,48466,21040AQ,,,20210527,20210612,16,C,352.290106
,48466,21040AQ,,,20210701,20210705,4,C,454.151747
,48467,21040AR,,,20210528,20210614,17,C,355.007477
,48468,21040AS,,,20210528,20210614,17,C,352.869515
,48469,21040AT,,,20210528,20210614,17,C,354.707422
,48470,21040AU,,,20210528,20210614,17,C,354.164229
,48471,21040AV,,,20210528,20210614,17,C,353.387757
,48472,21040AW,,,20210528,20210612,15,C,352.639592
,48473,21040AX,,,20210528,20210613,16,C,352.162829
,48474,21040AY,,,20210528,20210612,15,C,352.539203
,48475,21040AZ,,,20210528,20210614,17,C,355.902140
,48476,21040BA,,,20210528,20210612,15,C,352.519478
,48476,21040BA,,,20210705,20210709,4,C,468.877725
,48478,21040BC,,,20210524,20210618,25,C,352.207950
,48479,21040BD,,,20210524,20210618,25,C,351.940087
,48480,21040BE,,,20210524,20210528,4,C,353.265296
,48481,21040BF,,,20210524,20210528,4,C,354.904934
,48482,21040BG,,,20210524,20210528,4,C,354.220325
,48483,21040BH,,,20210524,20210528,4,C,353.977398
,48484,21040BJ,,,20210524,20210529,5,C,356.965114
,48485,21040BK,,,20210524,20210528,4,C,354.885586
,48486,21040BL,,,20210524,20210528,4,C,355.105383
,48487,21040BM,,,20210524,20210529,5,C,352.730587
,48553,21041A,,,20210605,20210624,19,G,443.017328
,48554,21041B,,,20210605,20210624,19,G,443.103285
,48557,21041E,,,20210605,20210624,19,G,442.904154
,48558,21041F,,,20210605,20210624,19,G,443.052023
,48559,21041G,,,20210605,20210621,16,G,441.895407
,48560,21041H,,,20210606,20210621,15,G,442.326605
,48560,21041H,,,20211121,20211126,5,G,440.418148
,48560,21041H,,,20211219,20220123,35,G,301.639490
,48561,21041J,,,20210606,20211020,136,G,446.317332
,48562,21041K,,,20210606,20210624,18,G,442.917409
,48563,21041L,,,20210606,20210624,18,G,443.130206
,48564,21041M,,,20210606,20210624,18,G,443.031773
,48565,21041N,,,20210606,20210624,18,G,443.123380
,48568,21041R,,,20210605,20210621,16,G,441.804439
,48569,21041S,,,20210605,20210624,19,G,443.130053
,48573,21041W,,,20210605,20210622,17,G,447.122026
,48574,21041X,,,20210605,20211018,135,G,442.576439
,48575,21041Y,,,20210630,20211211,164,C,447.249440
,48576,21041Z,,,20210605,20210930,117,G,442.289099
,48577,21041AA,,,20210605,20210622,17,G,445.092400
,48578,21041AB,,,20210605,20210613,8,C,483.929500
,48578,21041AB,,,20210622,20210628,6,G,442.529232
,48579,21041AC,,,20210529,20210602,4,C,499.270531
,48579,21041AC,,,20210610,20210625,15,G,444.279917
,48580,21041AD,,,20210605,20210929,116,G,441.991854
,48581,21041AE,,,20210529,20210605,7,C,513.372605
,48581,21041AE,,,20210616,20211117,154,G,441.894744
,48582,21041AF,,,20210601,20210609,8,C,472.624570
,48582,21041AF,,,20210614,20211110,149,G,441.777398
,48588,21041AM,,,20210605,20210622,17,G,444.212155
,48589,21041AN,,,20210606,20210622,16,G,443.241382
,48590,21041AP,,,20220316,20220416,31,G,297.837254
,48591,21041AQ,,,20210605,20210624,19,G,442.921651
,48594,21041AT,,,20210606,20210910,96,G,443.073701
,48599,21041AY,,,20210605,20210821,77,G,445.546126
,48600,21041AZ,,,20210606,20210622,16,G,446.055336
,48601,21041BA,,,20210615,20210705,20,G,439.380263
,48601,21041BA,,,20210717,20210722,5,G,358.053482
,48601,21041BA,,,20210804,20210812,8,G,300.331459
,48602,21041BB,,,20210605,20210819,75,G,442.484784
,48603,21041BC,,,20210605,20210909,96,G,445.786908
,48638,21044A,,,20210610,20210626,16,C,355.102496
,48639,21044B,,,20210610,20210626,16,C,352.838985
,48640,21044C,,,20210609,20210626,17,C,357.718977
,48641,21044D,,,20210610,20210616,6,C,356.955433
,48642,21044E,,,20210610,20210615,5,C,352.902330
,48643,21044F,,,20210610,20210616,6,C,356.461123
,48644,21044G,,,20210610,20210616,6,C,355.790096
,48645,21044H,,,20210610,20210616,6,C,355.424068
,48646,21044J,,,20210610,20210616,6,C,354.908660
,48647,21044K,,,20210610,20210616,6,C,354.358987
,48648,21044L,,,20210610,20210616,6,C,354.457693
,48649,21044M,,,20210610,20210615,5,C,356.845599
,48650,21044N,,,20210610,20210615,5,C,356.457847
,48651,21044P,,,20210610,20210615,5,C,356.001932
,48652,21044Q,,,20210610,20210615,5,C,355.348101
,48653,21044R,,,20210610,20210615,5,C,354.829561
,48654,21044S,,,20210610,20210615,5,C,354.337292
,48655,21044T,,,20210610,20210615,5,C,353.941807
,48656,21044U,,,20210610,20210615,5,C,353.467488
,48657,21044V,,,20210610,20210615,5,C,352.768642
,48658,21044W,,,20210610,20210615,5,C,352.805218
,48659,21044X,,,20210610,20210615,5,C,352.404587
,48660,21044Y,,,20210610,20210615,5,C,352.114366
,48661,21044Z,,,20210612,20210704,22,C,354.836475
,48662,21044AA,,,20210612,20210704,22,C,354.364030
,48663,21044AB,,,20210612,20210704,22,C,353.792079
,48664,21044AC,,,20210612,20210704,22,C,353.457114
,48665,21044AD,,,20210612,20210704,22,C,355.190983
,48666,21044AE,,,20210612,20210704,22,C,359.438824
,48667,21044AF,,,20210612,20210704,22,C,352.979738
,48668,21044AG,,,20210612,20210704,22,C,352.759046
,48669,21044AH,,,20210612,20210703,21,C,354.390794
,48670,21044AJ,,,20210612,20210703,21,C,354.171037
,48671,21044AK,,,20210612,20210703,21,C,353.954205
,48672,21044AL,,,20210612,20210703,21,C,353.556417
,48673,21044AM,,,20210612,20210703,21,C,353.207947
,48674,21044AN,,,20210612,20210703,21,C,352.830305
,48675,21044AP,,,20210612,20210703,21,C,352.595402
,48676,21044AQ,,,20210612,20210703,21,C,352.345723
,48677,21044AR,,,20210612,20210703,21,C,352.206267
,48678,21044AS,,,20210612,20210703,21,C,352.162705
,48679,21044AT,,,20210612,20210703,21,C,352.049802
,48680,21044AU,,,20210612,20210704,22,C,355.473004
,48681,21044AV,,,20210611,20210905,86,C,353.026441
,48682,21044AW,,,20210612,20210927,107,C,357.346316
,48683,21044AX,,,20210612,20210927,107,C,353.177339
,48684,21044AY,,,20210611,20210827,77,C,354.175700
,48685,21044AZ,,,20210611,20210928,109,C,354.916544
,48686,21044BA,,,20210612,20210916,96,C,351.171700
,48687,21044BB,,,20210611,20211006,117,C,357.856695
,48688,21044BC,,,20210611,20211005,116,C,352.823993
,48689,21044BD,,,20210612,20210924,104,C,352.688974
,48690,21044BE,,,20210612,20210903,83,C,351.702686
,48691,21044BF,,,20210612,20210915,95,C,356.736684
,48692,21044BG,,,20210612,20210916,96,C,358.231973
,48693,21044BH,,,20210612,20210904,84,C,353.274333
,48694,21044BJ,,,20210612,20210824,73,C,353.392602
,48695,21044BK,,,20210611,20210825,75,C,353.086487
,48696,21044BL,,,20210615,20210625,10,C,358.675496
,48696,21044BL,,,20210714,20210815,32,G,355.257228
,48697,21044BM,,,20210611,20210814,64,C,353.036607
,49131,21082B,,,20210927,20220316,170,C,356.261183
,49131,21082B,,,20220401,20220409,8,C,412.444923
,49132,21082C,,,20210927,20211109,43,C,357.812006
,49133,21082D,,,20210927,20211109,43,C,357.764989
,49134,21082E,,,20210927,20211109,43,C,357.319543
,49135,21082F,,,20210927,20220328,182,C,355.786251
,49135,21082F,,,20220408,20220412,4,C,403.310702
,49136,21082G,,,20210927,20220121,116,C,357.643213
,49137,21082H,,,20210927,20220120,115,C,359.355621
,49138,21082J,,,20210927,20211109,43,C,357.044565
,49138,21082J,,,20211222,20211225,3,C,536.367557
,49139,21082K,,,20210927,20220329,183,C,358.355987
,49139,21082K,,,20220409,20220413,4,C,406.466368
,49140,21082L,,,20210927,20220329,183,C,357.783667
,49140,21082L,,,20220408,20220412,4,C,402.386406
,49141,21082M,,,20210927,20211109,43,C,356.715916
,49142,21082N,,,20210927,20220329,183,C,357.722597
,49142,21082N,,,20220409,20220413,4,C,405.260445
,49143,21082P,,,20210927,20220109,104,C,356.347231
,49144,21082Q,,,20210927,20211109,43,C,356.603825
,49145,21082R,,,20210928,20220329,182,C,356.520742
,49146,21082S,,,20210928,20220109,103,C,356.296872
,49147,21082T,,,20210928,20220329,182,C,357.415402
,49147,21082T,,,20220408,20220413,5,C,404.991046
,49148,21082U,,,20210928,20220119,113,C,355.553243
,49149,21082V,,,20210928,20211108,41,C,358.628640
,49150,21082W,,,20210928,20211108,41,C,358.385247
,49151,21082X,,,20210928,20220329,182,C,356.735457
,49152,21082Y,,,20210928,20220329,182,C,361.356697
,49152,21082Y,,,20220408,20220413,5,C,407.475161
,49153,21082Z,,,20210928,20220329,182,C,357.005316
,49153,21082Z,,,20220409,20220411,2,C,400.943836
,49154,21082AA,,,20210928,20220109,103,C,356.180926
,49155,21082AB,,,20210928,20220328,181,C,357.417821
,49155,21082AB,,,20220409,20220413,4,C,408.075867
,49156,21082AC,,,20210928,20220328,181,C,356.744098
,49156,21082AC,,,20220408,20220413,5,C,406.386448
,49157,21082AD,,,20210928,20220120,114,C,357.594014
,49158,21082AE,,,20210928,20220120,114,C,357.409081
,49159,21082AF,,,20210928,20211108,41,C,358.356879
,49160,21082AG,,,20210928,20211108,41,C,356.973323
,49161,21082AH,,,20210928,20211108,41,C,357.930773
,49162,21082AJ,,,20210928,20211108,41,C,356.682988
,49163,21082AK,,,20210928,20220120,114,C,356.817646
,49164,21082AL,,,20210928,20220120,114,C,356.759575
,49165,21082AM,,,20210928,20211108,41,C,356.515328
,49166,21082AN,,,20210928,20220120,114,C,356.503107
,49167,21082AP,,,20210928,20211108,41,C,356.821666
,49168,21082AQ,,,20210928,20220120,114,C,356.887336
,49169,21082AR,,,20210928,20220120,114,C,357.007164
,49170,21082AS,,,20210928,20211109,42,C,357.614874
,49171,21082AT,,,20210928,20221108,406,C,568.694232
,49172,21082AU,,,20210928,20220119,113,C,356.958435
,49173,21082AV,,,20211002,20220119,109,C,357.097264
,49174,21082AW,,,20210928,20220120,114,C,356.075617
,49175,21082AX,,,20210928,20220120,114,C,358.052871
,49176,21082AY,,,20210929,20220328,180,C,357.469841
,49176,21082AY,,,20220408,20220411,3,C,403.891543
,49177,21082AZ,,,20210929,20220328,180,C,356.694286
,49177,21082AZ,,,20220408,20220411,3,C,406.213809
,49178,21082BA,,,20210928,20211108,41,C,358.697022
,49179,21082BB,,,20210929,20220328,180,C,356.627800
,49179,21082BB,,,20220408,20220411,3,C,404.223913
,49180,21082BC,,,20210929,20220120,113,C,357.066982
,49181,21082BD,,,20210929,20211108,40,C,356.655193
,49408,21104A,,,20211130,20211212,12,C,356.062970
,49409,21104B,,,20211130,20211213,13,C,355.153774
,49410,21104C,,,20211130,20211211,11,C,352.708316
,49411,21104D,,,20211208,20220101,24,C,353.042019
,49412,21104E,,,20211130,20211212,12,C,351.766090
,49413,21104F,,,20211207,20220101,25,C,352.719120
,49414,21104G,,,20211130,20211211,11,C,352.379989
,49415,21104H,,,20211207,20220102,26,C,356.393285
,49416,21104J,,,20211130,20211211,11,C,352.039925
,49417,21104K,,,20211207,20220101,25,C,352.416884
,49418,21104L,,,20211130,20211212,12,C,355.437161
,49419,21104M,,,20211130,20211212,12,C,354.466963
,49420,21104N,,,20211130,20211212,12,C,355.108307
,49421,21104P,,,20211130,20211212,12,C,353.809616
,49422,21104Q,,,20211130,20211212,12,C,354.795611
,49423,21104R,,,20211130,20211212,12,C,353.151818
,49424,21104S,,,20211130,20211212,12,C,354.602235
,49425,21104T,,,20211130,20211212,12,C,353.613130
,49426,21104U,,,20211130,20211212,12,C,353.802730
,49427,21104V,,,20211130,20211212,12,C,353.594040
,49428,21104W,,,20211130,20211212,12,C,353.325612
,49430,21104Y,,,20211130,20211212,12,C,353.448323
,49431,21104Z,,,20211130,20211211,11,C,352.399566
,49432,21104AA,,,20211205,20220101,27,C,352.370997
,49433,21104AB,,,20211130,20220124,55,C,353.423835
,49434,21104AC,,,20211130,20211212,12,C,353.250642
,49435,21104AD,,,20211130,20211228,28,C,353.700224
,49436,21104AE,,,20211130,20220124,55,C,353.752261
,49437,21104AF,,,20211130,20220124,55,C,353.110029
,49438,21104AG,,,20211130,20220124,55,C,352.802308
,49439,21104AH,,,20211130,20220124,55,C,351.749768
,49440,21104AJ,,,20211130,20220124,55,C,352.829610
,49441,21104AK,,,20211130,20220124,55,C,351.725169
,49442,21104AL,,,20211130,20220124,55,C,353.536704
,49443,21104AM,,,20211130,20220124,55,C,352.289082
,49444,21104AN,,,20211130,20220124,55,C,353.059115
,49445,21104AP,,,20211130,20220102,33,C,354.952913
,49446,21104AQ,,,20211130,20220124,55,C,352.533598
,49447,21104AR,,,20211130,20220102,33,C,354.311647
,49448,21104AS,,,20211130,20220102,33,C,355.281908
,49449,21104AT,,,20211130,20220102,33,C,353.982862
,49450,21104AU,,,20211130,20220102,33,C,354.640272
,49451,21104AV,,,20211130,20220102,33,C,353.654508
,49452,21104AW,,,20211130,20220102,33,C,352.730792
,49453,21104AX,,,20211130,20220102,33,C,353.013097
,49454,21104AY,,,20211130,20220102,33,C,353.325700
,49455,21104AZ,,,20211130,20220102,33,C,353.455737
,49456,21104BA,,,20211130,20220102,33,C,352.683693
,49457,21104BB,,,20211130,20220102,33,C,352.975367
,49458,21104BC,,,20211130,20220102,33,C,352.678054
,49459,21104BD,,,20211130,20220102,33,C,352.390930
,49460,21104BE,,,20211130,20220101,32,C,353.254605
,49724,21115A,,,20211209,20220127,49,C,448.027743
,49725,21115B,,,20211209,20220129,51,C,449.678185
,49726,21115C,,,20211209,20211214,5,C,447.790165
,49727,21115D,,,20211209,20211214,5,C,448.418340
,49728,21115E,,,20211209,20211214,5,C,449.104273
,49729,21115F,,,20211209,20211213,4,C,447.159478
,49730,21115G,,,20211209,20211213,4,C,447.577323
,49731,21115H,,,20211209,20211213,4,C,447.092153
,49732,21115J,,,20211209,20211213,4,C,449.099606
,49733,21115K,,,20211209,20211213,4,C,447.743879
,49734,21115L,,,20211209,20220128,50,C,447.310369
,49735,21115M,,,20211209,20211213,4,C,448.414925
,49736,21115N,,,20211209,20220128,50,C,447.396197
,49737,21115P,,,20211208,20220128,51,C,447.203232
,49738,21115Q,,,20211208,20220128,51,C,448.119674
,49739,21115R,,,20211208,20211212,4,C,447.211645
,49740,21115S,,,20211208,20220128,51,C,449.836015
,49741,21115T,,,20211208,20220128,51,C,448.461496
,49742,21115U,,,20211208,20220127,50,C,447.315507
,49743,21115V,,,20211208,20220128,51,C,449.147295
,49744,21115W,,,20211208,20220127,50,C,448.453359
,49745,21115X,,,20211208,20220128,51,C,450.524936
,49746,21115Y,,,20211208,20220126,49,C,447.173708
,49747,21115Z,,,20211208,20220126,49,C,447.527375
,49749,21115AB,,,20211208,20220129,52,C,457.400713
,49750,21115AC,,,20211208,20220129,52,C,447.773774
,49751,21115AD,,,20211208,20220129,52,C,447.203918
,49752,21115AE,,,20211208,20220314,96,C,449.901468
,49753,21115AF,,,20211208,20220129,52,C,447.554828
,49754,21115AG,,,20211208,20220222,76,C,449.414952
,49755,21115AH,,,20211208,20220129,52,C,448.463221
,49756,21115AJ,,,20211206,20220311,95,C,447.003948
,49757,21115AK,,,20211208,20220314,96,C,450.245573
,49758,21115AL,,,20211208,20220313,95,C,449.172657
,49759,21115AM,,,20211208,20220313,95,C,448.005782
,49760,21115AN,,,20211208,20220316,98,C,449.534128
,49761,21115AP,,,20211208,20220313,95,C,448.486589
,49762,21115AQ,,,20211208,20220315,97,C,448.677920
,49763,21115AR,,,20211208,20220316,98,C,448.846778
,49764,21115AS,,,20211208,20220316,98,C,452.291016
,49765,21115AT,,,20211208,20220316,98,C,450.220881
,49766,21115AU,,,20211208,20220315,97,C,449.180222
,49767,21115AV,,,20211208,20220315,97,C,447.802997
,49768,21115AW,,,20211208,20220315,97,C,450.569744
,49769,21115AX,,,20211208,20220315,97,C,449.877640
,49770,21115AY,,,20211208,20220314,96,C,448.363830
,49771,21115AZ,,,20211208,20220314,96,C,447.949054
,50156,21125A,,,20220107,20220131,24,C,353.221401
,50157,21125B,,,20220107,20220115,8,C,354.225766
,50158,21125C,,,20220107,20220115,8,C,353.240482
,50159,21125D,,,20220106,20220115,9,C,352.888857
,50160,21125E,,,20220106,20220115,9,C,353.568757
,50161,21125F,,,20220107,20220115,8,C,353.897306
,50162,21125G,,,20220101,20220118,17,C,342.681048
,50162,21125G,,,20220415,20220710,86,C,341.691582
,50163,21125H,,,20220106,20220127,21,C,352.116203
,50164,21125J,,,20220106,20220318,71,C,351.723629
,50164,21125J,,,20220320,20220425,36,C,339.685435
,50165,21125K,,,20220106,20220115,9,C,352.606439
,50166,21125L,,,20220106,20220205,30,C,353.561537
,50167,21125M,,,20220106,20220115,9,C,353.386829
,50168,21125N,,,20220106,20220205,30,C,352.692653
,50169,21125P,,,20220107,20220206,30,C,352.948300
,50170,21125Q,,,20220106,20220206,31,C,354.922351
,50171,21125R,,,20220106,20220206,31,C,356.244437
,50172,21125S,,,20220107,20220206,30,C,354.264903
,50173,21125T,,,20220110,20220131,21,C,354.210423
,50174,21125U,,,20220107,20220206,30,C,353.279070
,50175,21125V,,,20220107,20220206,30,C,355.251005
,50176,21125W,,,20220109,20220206,28,C,353.607700
,50177,21125X,,,20220109,20220206,28,C,354.593625
,50178,21125Y,,,20220109,20220205,27,C,353.194050
,50179,21125Z,,,20220109,20220206,28,C,353.936184
,50180,21125AA,,,20220109,20220206,28,C,352.631841
,50181,21125AB,,,20220109,20220206,28,C,352.412866
,50182,21125AC,,,20220109,20220206,28,C,352.209760
,50183,21125AD,,,20220109,20220206,28,C,352.204170
,50185,21125AF,,,20220109,20220206,28,C,352.388180
,50186,21125AG,,,20220109,20220116,7,C,356.587424
,50187,21125AH,,,20220109,20220301,51,C,354.288958
,50188,21125AJ,,,20220109,20220301,51,C,354.648075
,50189,21125AK,,,20211223,20220106,14,C,348.874647
,50189,21125AK,,,20220107,20220206,30,C,356.864797
,50190,21125AL,,,20220107,20220301,53,C,353.210210
,50191,21125AM,,,20220107,20220115,8,C,355.023259
,50192,21125AN,,,20220107,20220301,53,C,352.864597
,50193,21125AP,,,20220107,20220301,53,C,353.929589
,50194,21125AQ,,,20220107,20220301,53,C,352.668177
,50195,21125AR,,,20220109,20220301,51,C,353.570254
,50196,21125AS,,,20220107,20220301,53,C,353.424705
,50197,21125AT,,,20220107,20220301,53,C,353.758206
,50198,21125AU,,,20220107,20220301,53,C,351.673082
,50199,21125AV,,,20220107,20220301,53,C,355.771703
,50200,21125AW,,,20220107,20220301,53,C,352.814872
,50201,21125AX,,,20220107,20220302,54,C,354.726708
,50202,21125AY,,,20220118,20220226,39,C,354.931999
,50203,21125AZ,,,20220110,20220301,50,C,352.351973
,50204,21125BA,,,20220110,20220301,50,C,352.312114
,50205,21125BB,,,20220128,20220429,91,C,355.754197
,50206,21125BC,,,20220110,20220301,50,C,352.367415
,50207,21125BD,,,20220110,20220301,50,C,353.170486
,50803,22001A,,,20220123,20220225,33,C,354.752665
,50803,22001A,,,20220312,20220318,6,C,422.294881
,50804,22001B,,,20220123,20220318,54,C,353.597009
,50804,22001B,,,20220402,20220407,5,C,419.555316
,50805,22001C,,,20220123,20220318,54,C,353.232339
,50805,22001C,,,20220402,20220407,5,C,419.285923
,50806,22001D,,,20220123,20220318,54,C,352.855461
,50806,22001D,,,20220402,20220407,5,C,419.175945
,50807,22001E,,,20220123,20220318,54,C,352.731091
,50807,22001E,,,20220403,20220407,4,C,419.827783
,50808,22001F,,,20220123,20220318,54,C,353.058118
,50808,22001F,,,20220403,20220407,4,C,419.745692
,50809,22001G,,,20220123,20220318,54,C,352.721813
,50809,22001G,,,20220403,20220407,4,C,419.784517
,50810,22001H,,,20220123,20220318,54,C,353.396689
,50810,22001H,,,20220403,20220407,4,C,419.865980
,50811,22001J,,,20220123,20220319,55,C,355.413578
,50811,22001J,,,20220402,20220408,6,C,420.282318
,50812,22001K,,,20220123,20220319,55,C,358.541326
,50812,22001K,,,20220402,20220408,6,C,423.523075
,50813,22001L,,,20220123,20220319,55,C,355.146544
,50813,22001L,,,20220402,20220408,6,C,420.023723
,50814,22001M,,,20220123,20220225,33,C,353.413488
,50814,22001M,,,20220313,20220319,6,C,424.175995
,50815,22001N,,,20220123,20220225,33,C,354.508082
,50815,22001N,,,20220313,20220319,6,C,425.298677
,50816,22001P,,,20220123,20220224,32,C,354.012468
,50816,22001P,,,20220312,20220319,7,C,429.271877
,50817,22001Q,,,20220123,20220225,33,C,354.143275
,50817,22001Q,,,20220313,20220319,6,C,424.924197
,50818,22001R,,,20220123,20220223,31,C,352.267348
,50818,22001R,,,20220312,20220317,5,C,422.372284
,50819,22001S,,,20220123,20220225,33,C,353.034818
,50819,22001S,,,20220313,20220319,6,C,423.804966
,50820,22001T,,,20220123,20220224,32,C,353.648302
,50820,22001T,,,20220312,20220317,5,C,422.492718
,50821,22001U,,,20220127,20220224,28,C,353.237394
,50821,22001U,,,20220312,20220317,5,C,422.591642
,50822,22001V,,,20220123,20220225,33,C,357.280119
,50822,22001V,,,20220312,20220318,6,C,423.669686
,50823,22001W,,,20220123,20220225,33,C,353.778775
,50823,22001W,,,20220312,20220318,6,C,422.352250
,50824,22001X,,,20220123,20220225,33,C,356.914661
,50824,22001X,,,20220312,20220318,6,C,423.295667
,50825,22001Y,,,20220123,20220225,33,C,357.645448
,50825,22001Y,,,20220312,20220318,6,C,424.040400
,50826,22001Z,,,20220123,20220224,32,C,352.184077
,50826,22001Z,,,20220312,20220318,6,C,422.356143
,50827,22001AA,,,20220123,20220224,32,C,354.377577
,50827,22001AA,,,20220312,20220318,6,C,425.162739
,50828,22001AB,,,20220123,20220224,32,C,354.446307
,50828,22001AB,,,20220312,20220318,6,C,425.016042
,50829,22001AC,,,20220123,20220224,32,C,355.463951
,50829,22001AC,,,20220312,20220318,6,C,425.911022
,50830,22001AD,,,20220123,20220204,12,C,352.942856
,50830,22001AD,,,20220221,20220223,2,C,424.009855
,50830,22001AD,,,20220317,20220323,6,C,514.792229
,50831,22001AE,,,20220123,20220225,33,C,355.187507
,50831,22001AE,,,20220312,20220318,6,C,422.206562
,50832,22001AF,,,20220123,20220203,11,C,352.372406
,50832,22001AF,,,20220123,20220225,33,C,431.876353
,50832,22001AF,,,20220312,20220318,6,C,519.604657
,50833,22001AG,,,20220124,20220225,32,C,355.819909
,50833,22001AG,,,20220312,20220318,6,C,422.402438
,50834,22001AH,,,20220123,20220204,12,C,354.057028
,50835,22001AJ,,,20220123,20220204,12,C,356.096750
,50836,22001AK,,,20220123,20220204,12,C,356.569544
,50837,22001AL,,,20220123,20220224,32,C,353.177019
,50837,22001AL,,,20220313,20220318,5,C,422.551409
,50838,22001AM,,,20220123,20220203,11,C,352.375453
,50839,22001AN,,,20220123,20220202,10,C,352.404327
,50840,22001AP,,,20220123,20220203,11,C,352.412784
,50841,22001AQ,,,20220124,20220204,11,C,355.834031
,50841,22001AQ,,,20220220,20220222,2,C,423.880648
,50842,22001AR,,,20220124,20220204,11,C,354.490171
,50842,22001AR,,,20220220,20220222,2,C,423.787115
,50843,22001AS,,,20220124,20220204,11,C,353.367899
,50843,22001AS,,,20220220,20220222,2,C,424.562023
,50844,22001AT,,,20220124,20220126,2,C,352.523949
,50844,22001AT,,,20220129,20220204,6,C,353.450775
,50844,22001AT,,,20220220,20220222,2,C,423.706040
,50845,22001AU,,,20220124,20220204,11,C,352.197094
,50845,22001AU,,,20220220,20220222,2,C,421.856962
,50846,22001AV,,,20220124,20220204,11,C,354.748938
,50846,22001AV,,,20220220,20220222,2,C,421.484589
,50847,22001AW,,,20220124,20220204,11,C,354.929562
,50847,22001AW,,,20220220,20220222,2,C,423.538381
,50848,22001AX,,,20220124,20220204,11,C,352.045790
,50848,22001AX,,,20220220,20220222,2,C,420.137227
,50849,22001AY,,,20220124,20220204,11,C,352.994172
,50849,22001AY,,,20220220,20220222,2,C,425.597928
,50850,22001AZ,,,20220124,20220504,100,C,353.164681
,50851,22001BA,,,20220124,20220204,11,C,354.131778
,50851,22001BA,,,20220220,20220222,2,C,420.521703
,51104,22005A,,,20220205,20220330,53,C,351.798249
